nome_famiglia	contrast_type	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_crepusculus	23.6	6.65	0.897495570065947
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_cephus	17.5	3.48	0.897160831981256
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_pogonias	17.05	3.58	0.89670340302149
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_hamlyni	17.05	4.43	0.895542471350578
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_pogonias	17.5	3.58	0.895529713660626
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_arctoides	22.3	10.3	0.895031151542436
Cercopithecidae	CONTROL	Papio_cynocephalus	Chlorocebus_pygerythrus	17.05	4.665	0.895004421493356
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_crepusculus	17	6.65	0.894743617765889
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_assamensis	20.375	9	0.894551290273389
Cercopithecidae	CONTROL	Papio_cynocephalus	Allenopithecus_nigroviridis	17.05	5.3	0.894493003943434
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_petaurista	17.5	3.65	0.894433322696143
Cercopithecidae	CONTROL	Mandrillus_sphinx	Papio_kindae	23.6	13	0.893233698179555
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_nemestrina	20.375	8.89	0.892369328889077
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_ascanius	16.65	3.24	0.890030828563801
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_cephus	17.05	3.48	0.889770970194164
Cercopithecidae	CONTROL	Papio_papio	Chlorocebus_pygerythrus	17.5	4.665	0.888785205400963
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_cristatus	17	6.25	0.88858708246741
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_mona	17.5	4.05	0.887846561255052
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_obscurus	17	6.99	0.887490757904347
Cercopithecidae	CONTROL	Papio_ursinus	Presbytis_mitrata	22.3	5.8	0.886830844493908
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_ascanius	15.35	3.24	0.884162120994846
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_hatinhensis	23.6	7.275	0.883702231400573
Cercopithecidae	CONTROL	Mandrillus_sphinx	Piliocolobus_kirkii	23.6	6.9	0.88332760306043
Cercopithecidae	CONTROL	Papio_anubis	Macaca_radiata	16.65	5.14	0.882964762431587
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_laotum	23.6	7	0.882941099553635
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_cyclopis	17.05	5.47	0.882073897914797
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_lowei	17.5	3.9	0.881795582582583
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_hamlyni	16.65	4.43	0.881635544438805
Cercopithecidae	CONTROL	Papio_papio	Macaca_cyclopis	17.5	5.47	0.880849151764136
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_mona	17.05	4.05	0.880178255121085
Cercopithecidae	CONTROL	Papio_ursinus	Erythrocebus_patas	22.3	9.45	0.880040385934444
Cercopithecidae	CONTROL	Mandrillus_sphinx	Piliocolobus_gordonorum	23.6	7.05	0.879538595266466
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_pogonias	16.65	3.58	0.878727606213602
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_lowei	17.05	3.9	0.877341973793302
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_phayrei	23.6	7.44	0.875569025948954
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_fuscata	20.375	9.5	0.875460269279005
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_cephus	16.65	3.48	0.875265170370077
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_leonina	15.55	6.7	0.875173524073198
Cercopithecidae	CONTROL	Mandrillus_sphinx	Piliocolobus_badius	23.6	8.25	0.873979981893597
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_ascanius	15.55	3.24	0.87377741257949
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_diana	17.5	4.5	0.873723186520838
Cercopithecidae	CONTROL	Papio_anubis	Allenopithecus_nigroviridis	16.65	5.3	0.873224308530461
Cercopithecidae	CONTROL	Papio_papio	Macaca_mulatta	17.5	5.96	0.872760426042782
Cercopithecidae	CONTROL	Theropithecus_gelada	Macaca_radiata	15.35	5.14	0.872233091515919
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_petaurista	16.65	3.65	0.87195472366992
Cercopithecidae	CONTROL	Papio_ursinus	Semnopithecus_vetulus	22.3	7.03	0.871375080689805
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_pogonias	15.35	3.58	0.87060564185142
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_leucocephalus	23.6	8.285	0.870237520283072
Cercopithecidae	CONTROL	Mandrillus_sphinx	Papio_hamadryas	23.6	13.4	0.86965854503595
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_diana	17.05	4.5	0.869318949941702
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_francoisi	23.6	7.52	0.86915031236499
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_petaurista	15.55	3.65	0.868719592676148
Cercopithecidae	CONTROL	Papio_cynocephalus	Allochrocebus_preussi	17.05	4.525	0.868017017926223
