Trait	Species1	Species2	PatristicDistance	AbsDiff	AbsDiff_z	Nu	eNu
BodyMass_kg	Allenopithecus_nigroviridis	Colobus_guereza	10.214907	3.59	0.357795702221295	0.302743691540139	0.322
BodyMass_kg	Allenopithecus_nigroviridis	Colobus_polykomos	10.214907	3.8	0.378725255833125	0.331898394716214	0.347
BodyMass_kg	Allenopithecus_nigroviridis	Daubentonia_madagascariensis	21.391345	2.755	0.274575810479016	0.153277867177384	0.157
BodyMass_kg	Allenopithecus_nigroviridis	Erythrocebus_patas	3.292028	4.15	0.413607845186176	0.580161130404125	0.593
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_albifrons	33.47036	3.26	0.324906403688418	0.14919488019434	0.146
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_collaris	33.329686	3.14	0.312946658767372	0.140298619613545	0.133
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_coronatus	32.601391	3.83	0.381715192063387	0.17707417461504	0.177
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_flavifrons	34.36292	3.47	0.345835957300249	0.156044978931626	0.16
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_fulvus	33.223657	3.46	0.344839311890162	0.166692613577749	0.176
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_macaco	34.36292	3.237	0.322614119245218	0.145093408155257	0.141
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_mongoz	32.541569	3.925	0.391183323459215	0.186038691586998	0.197
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_rubriventer	31.831458	3.3025	0.329142146681289	0.1534364199617	0.151
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_rufus	33.329686	3.29	0.32789633991868	0.151404221519485	0.148
BodyMass_kg	Allenopithecus_nigroviridis	Eulemur_sanfordi	33.47036	3.43	0.3418493756599	0.152736583499869	0.143
BodyMass_kg	Allenopithecus_nigroviridis	Galago_moholi	38.034128	5.1	0.508289159144458	0.20249651848551	0.2
BodyMass_kg	Allenopithecus_nigroviridis	Galago_senegalensis	38.034128	5.05	0.503305932094022	0.20725890717445	0.209
