species	family	primate_group_code	primate_group
Ateles_hybridus	Atelidae	PLA	New World monkeys (Platyrrhini)
Ateles_marginatus	Atelidae	PLA	New World monkeys (Platyrrhini)
Ateles_paniscus	Atelidae	PLA	New World monkeys (Platyrrhini)
Avahi_betsileo	Indriidae	STR	Strepsirrhines
Avahi_cleesei	Indriidae	STR	Strepsirrhines
Avahi_laniger	Indriidae	STR	Strepsirrhines
Avahi_meridionalis	Indriidae	STR	Strepsirrhines
Avahi_mooreorum	Indriidae	STR	Strepsirrhines
Avahi_occidentalis	Indriidae	STR	Strepsirrhines
Avahi_peyrierasi	Indriidae	STR	Strepsirrhines
Avahi_ramanantsoavanai	Indriidae	STR	Strepsirrhines
Avahi_unicolor	Indriidae	STR	Strepsirrhines
Brachyteles_arachnoides	Atelidae	PLA	New World monkeys (Platyrrhini)
Brachyteles_hypoxanthus	Atelidae	PLA	New World monkeys (Platyrrhini)
Cacajao_ayresi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cacajao_calvus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cacajao_hosomi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cacajao_melanocephalus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Cacajao_ouakary	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Callibella_humilis	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Callicebus_barbarabrownae	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Callicebus_coimbrai	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Callicebus_melanochir	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Callicebus_nigrifrons	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Callicebus_personatus	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Callimico_goeldii	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Callithrix_aurita	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Callithrix_flaviceps	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Callithrix_geoffroyi	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Callithrix_jacchus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
