species	family	primate_group_code	primate_group
Plecturocebus_pallescens	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_stephennashi	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_toppini	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_urubambensis	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Plecturocebus_vieirai	Pitheciidae	PLA	New World monkeys (Platyrrhini)
Pongo_abelii	Hominidae	APE	Apes
Pongo_pygmaeus	Hominidae	APE	Apes
Pongo_tapanuliensis	Hominidae	APE	Apes
Presbytis_bicolor	Cercopithecidae	OWM	Old World monkeys
Presbytis_canicrus	Cercopithecidae	OWM	Old World monkeys
Presbytis_chrysomelas	Cercopithecidae	OWM	Old World monkeys
Presbytis_comata	Cercopithecidae	OWM	Old World monkeys
Presbytis_femoralis	Cercopithecidae	OWM	Old World monkeys
Presbytis_frontata	Cercopithecidae	OWM	Old World monkeys
Presbytis_hosei	Cercopithecidae	OWM	Old World monkeys
